packet_size,apu_timestamp,rpu_timestamp,delta_ticks,delta_us
32,1398098132,1398098298,166,1.660
32,1398119853,1398120021,168,1.680
32,1398141470,1398141642,172,1.720
32,1398163067,1398163213,146,1.460
32,1398184660,1398184834,174,1.740
32,1398206274,1398206456,182,1.820
32,1398227877,1398228033,156,1.560
32,1398249477,1398249631,154,1.540
32,1398271055,1398271202,147,1.470
32,1398292651,1398292824,173,1.730
32,1398314233,1398314395,162,1.620
32,1398335843,1398336017,174,1.740
32,1398357439,1398357588,149,1.490
32,1398379013,1398379159,146,1.460
32,1398400605,1398400780,175,1.750
32,1398422211,1398422408,197,1.970
32,1398443791,1398443979,188,1.880
32,1398465375,1398465527,152,1.520
32,1398486957,1398487098,141,1.410
64,1398511830,1398511973,143,1.430
64,1398533561,1398533769,208,2.080
64,1398555149,1398555314,165,1.650
64,1398576742,1398576936,194,1.940
64,1398598370,1398598556,186,1.860
64,1398619991,1398620178,187,1.870
64,1398641623,1398641799,176,1.760
64,1398663233,1398663421,188,1.880
64,1398684833,1398684992,159,1.590
64,1398706443,1398706614,171,1.710
64,1398728033,1398728185,152,1.520
64,1398749639,1398749806,167,1.670
64,1398771248,1398771428,180,1.800
64,1398792844,1398792984,140,1.400
64,1398814453,1398814603,150,1.500
64,1398836049,1398836226,177,1.770
64,1398857656,1398857797,141,1.410
64,1398879246,1398879421,175,1.750
64,1398900847,1398900989,142,1.420
64,1398922579,1398922761,182,1.820
64,1398944199,1398944383,184,1.840
64,1398965803,1398965954,151,1.510
64,1398987394,1398987575,181,1.810
64,1399008979,1399009147,168,1.680
64,1399030589,1399030768,179,1.790
64,1399052212,1399052391,179,1.790
64,1399073814,1399074018,204,2.040
64,1399095404,1399095565,161,1.610
64,1399117008,1399117187,179,1.790
64,1399138593,1399138758,165,1.650
64,1399160191,1399160330,139,1.390
64,1399181783,1399181950,167,1.670
64,1399203371,1399203522,151,1.510
64,1399224960,1399225143,183,1.830
64,1399246557,1399246714,157,1.570
64,1399268184,1399268389,205,2.050
64,1399289771,1399289964,193,1.930
64,1399311491,1399311680,189,1.890
64,1399333096,1399333235,139,1.390
64,1399354704,1399354855,151,1.510
64,1399376307,1399376477,170,1.700
64,1399397902,1399398048,146,1.460
64,1399419503,1399419669,166,1.660
64,1399441093,1399441240,147,1.470
64,1399462712,1399462862,150,1.500
64,1399484305,1399484483,178,1.780
64,1399505903,1399506055,152,1.520
64,1399527513,1399527676,163,1.630
64,1399549099,1399549298,199,1.990
64,1399570701,1399570852,151,1.510
64,1399592306,1399592473,167,1.670
64,1399613898,1399614045,147,1.470
64,1399635487,1399635666,179,1.790
64,1399657083,1399657237,154,1.540
64,1399678729,1399678909,180,1.800
64,1399700335,1399700480,145,1.450
64,1399721967,1399722152,185,1.850
64,1399743595,1399743773,178,1.780
64,1399765171,1399765348,177,1.770
64,1399786780,1399786966,186,1.860
64,1399808399,1399808588,189,1.890
64,1399829993,1399830142,149,1.490
64,1399851587,1399851763,176,1.760
64,1399873187,1399873334,147,1.470
64,1399894777,1399894956,179,1.790
64,1399916380,1399916527,147,1.470
64,1399937956,1399938098,142,1.420
64,1399959562,1399959720,158,1.580
64,1399981148,1399981291,143,1.430
64,1400002763,1400002912,149,1.490
64,1400024345,1400024534,189,1.890
64,1400045924,1400046088,164,1.640
64,1400067517,1400067659,142,1.420
64,1400089101,1400089280,179,1.790
64,1400110832,1400111003,171,1.710
64,1400132435,1400132574,139,1.390
64,1400154023,1400154195,172,1.720
64,1400175630,1400175769,139,1.390
64,1400197242,1400197388,146,1.460
64,1400218825,1400219010,185,1.850
64,1400240423,1400240581,158,1.580
64,1400262035,1400262202,167,1.670
64,1400283612,1400283780,168,1.680
64,1400305221,1400305378,157,1.570
64,1400326820,1400327000,180,1.800
64,1400348394,1400348571,177,1.770
64,1400369968,1400370143,175,1.750
64,1400391564,1400391713,149,1.490
64,1400413149,1400413334,185,1.850
64,1400434747,1400434905,158,1.580
64,1400456331,1400456476,145,1.450
64,1400477927,1400478100,173,1.730
64,1400499522,1400499726,204,2.040
64,1400521268,1400521444,176,1.760
64,1400542878,1400543070,192,1.920
64,1400564458,1400564617,159,1.590
64,1400586057,1400586239,182,1.820
64,1400607637,1400607809,172,1.720
64,1400629234,1400629381,147,1.470
64,1400650871,1400651053,182,1.820
128,1400675947,1400676135,188,1.880
128,1400697648,1400697805,157,1.570
128,1400719241,1400719424,183,1.830
128,1400740837,1400740994,157,1.570
128,1400762442,1400762616,174,1.740
128,1400784035,1400784187,152,1.520
128,1400805677,1400805859,182,1.820
128,1400827265,1400827430,165,1.650
128,1400848840,1400849001,161,1.610
128,1400870430,1400870623,193,1.930
128,1400892031,1400892197,166,1.660
128,1400913761,1400913916,155,1.550
128,1400935357,1400935540,183,1.830
128,1400956965,1400957166,201,2.010
128,1400978568,1400978713,145,1.450
128,1401000141,1401000287,146,1.460
128,1401021714,1401021906,192,1.920
128,1401043323,1401043477,154,1.540
128,1401064964,1401065149,185,1.850
128,1401086525,1401086671,146,1.460
128,1401108097,1401108243,146,1.460
128,1401129681,1401129862,181,1.810
128,1401151273,1401151440,167,1.670
128,1401172869,1401173037,168,1.680
128,1401194466,1401194611,145,1.450
128,1401216031,1401216180,149,1.490
128,1401237611,1401237801,190,1.900
128,1401259232,1401259423,191,1.910
128,1401280820,1401280994,174,1.740
128,1401302403,1401302565,162,1.620
128,1401324119,1401324287,168,1.680
128,1401345697,1401345859,162,1.620
128,1401367286,1401367480,194,1.940
128,1401388878,1401389058,180,1.800
128,1401410453,1401410605,152,1.520
128,1401432037,1401432227,190,1.900
128,1401453645,1401453798,153,1.530
128,1401475235,1401475419,184,1.840
128,1401496843,1401496990,147,1.470
128,1401518427,1401518612,185,1.850
128,1401540022,1401540183,161,1.610
128,1401561633,1401561805,172,1.720
128,1401583228,1401583429,201,2.010
128,1401604805,1401605004,199,1.990
128,1401626373,1401626551,178,1.780
128,1401647968,1401648123,155,1.550
128,1401669566,1401669744,178,1.780
128,1401691166,1401691315,149,1.490
128,1401712795,1401712987,192,1.920
128,1401734381,1401734558,177,1.770
128,1401755957,1401756129,172,1.720
128,1401777562,1401777751,189,1.890
128,1401799153,1401799327,174,1.740
128,1401820731,1401820877,146,1.460
128,1401842319,1401842497,178,1.780
128,1401863910,1401864068,158,1.580
128,1401885500,1401885690,190,1.900
128,1401907085,1401907261,176,1.760
128,1401928653,1401928832,179,1.790
128,1401950255,1401950403,148,1.480
128,1401971845,1401972028,183,1.830
128,1401993465,1401993646,181,1.810
128,1402015067,1402015268,201,2.010
128,1402036670,1402036821,151,1.510
128,1402058247,1402058393,146,1.460
128,1402079816,1402079964,148,1.480
128,1402101421,1402101585,164,1.640
128,1402123138,1402123308,170,1.700
128,1402144719,1402144879,160,1.600
128,1402166292,1402166450,158,1.580
128,1402187869,1402188021,152,1.520
128,1402209460,1402209643,183,1.830
128,1402231029,1402231214,185,1.850
128,1402252614,1402252767,153,1.530
128,1402274188,1402274339,151,1.510
128,1402295777,1402295960,183,1.830
128,1402317369,1402317531,162,1.620
128,1402338945,1402339102,157,1.570
128,1402360538,1402360724,186,1.860
128,1402382127,1402382295,168,1.680
128,1402403709,1402403866,157,1.570
128,1402425301,1402425488,187,1.870
128,1402446893,1402447041,148,1.480
128,1402468456,1402468613,157,1.570
128,1402490049,1402490234,185,1.850
128,1402511790,1402511957,167,1.670
128,1402533382,1402533528,146,1.460
128,1402554978,1402555149,171,1.710
128,1402576567,1402576721,154,1.540
128,1402598148,1402598294,146,1.460
128,1402619739,1402619913,174,1.740
128,1402641326,1402641484,158,1.580
128,1402662924,1402663109,185,1.850
128,1402684499,1402684659,160,1.600
128,1402706101,1402706284,183,1.830
128,1402727689,1402727852,163,1.630
128,1402749258,1402749423,165,1.650
128,1402770834,1402770995,161,1.610
128,1402792416,1402792565,149,1.490
128,1402814003,1402814187,184,1.840
256,1402839013,1402839218,205,2.050
256,1402860723,1402860889,166,1.660
256,1402882318,1402882517,199,1.990
256,1402903917,1402904082,165,1.650
256,1402925681,1402925855,174,1.740
256,1402947309,1402947476,167,1.670
256,1402968922,1402969097,175,1.750
256,1402990523,1402990721,198,1.980
256,1403012137,1403012341,204,2.040
256,1403033752,1403033913,161,1.610
256,1403055350,1403055536,186,1.860
256,1403076938,1403077161,223,2.230
256,1403098509,1403098709,200,2.000
256,1403120089,1403120283,194,1.940
256,1403141688,1403141851,163,1.630
256,1403163279,1403163473,194,1.940
256,1403184880,1403185044,164,1.640
256,1403206477,1403206665,188,1.880
256,1403228078,1403228238,160,1.600
256,1403249684,1403249857,173,1.730
256,1403271256,1403271479,223,2.230
256,1403292840,1403293033,193,1.930
256,1403314443,1403314604,161,1.610
256,1403336029,1403336226,197,1.970
256,1403357602,1403357798,196,1.960
256,1403379212,1403379371,159,1.590
256,1403400795,1403400991,196,1.960
256,1403422378,1403422561,183,1.830
256,1403443984,1403444182,198,1.980
256,1403465585,1403465807,222,2.220
256,1403487163,1403487381,218,2.180
256,1403508741,1403508929,188,1.880
256,1403530322,1403530499,177,1.770
256,1403551903,1403552071,168,1.680
256,1403573488,1403573693,205,2.050
256,1403595079,1403595264,185,1.850
256,1403616676,1403616836,160,1.600
256,1403638245,1403638406,161,1.610
256,1403659843,1403660030,187,1.870
256,1403681422,1403681583,161,1.610
256,1403703001,1403703203,202,2.020
256,1403724744,1403724925,181,1.810
256,1403746338,1403746498,160,1.600
256,1403767934,1403768118,184,1.840
256,1403789515,1403789689,174,1.740
256,1403811112,1403811311,199,1.990
256,1403832691,1403832885,194,1.940
256,1403854267,1403854453,186,1.860
256,1403875870,1403876074,204,2.040
256,1403897471,1403897649,178,1.780
256,1403919059,1403919273,214,2.140
256,1403940649,1403940821,172,1.720
256,1403962485,1403962665,180,1.800
256,1403984088,1403984289,201,2.010
256,1404005675,1404005837,162,1.620
256,1404027261,1404027459,198,1.980
256,1404048840,1404049034,194,1.940
256,1404070438,1404070601,163,1.630
256,1404092065,1404092225,160,1.600
256,1404113780,1404113945,165,1.650
256,1404135134,1404135314,180,1.800
256,1404156474,1404156668,194,1.940
256,1404177857,1404178035,178,1.780
256,1404199237,1404199461,224,2.240
256,1404220597,1404220758,161,1.610
256,1404241955,1404242126,171,1.710
256,1404263291,1404263478,187,1.870
256,1404284662,1404284847,185,1.850
256,1404306006,1404306202,196,1.960
256,1404327351,1404327518,167,1.670
256,1404348698,1404348890,192,1.920
256,1404370024,1404370189,165,1.650
256,1404391387,1404391558,171,1.710
256,1404412724,1404412911,187,1.870
256,1404434059,1404434229,170,1.700
256,1404455397,1404455581,184,1.840
256,1404476740,1404476901,161,1.610
256,1404498074,1404498272,198,1.980
256,1404519649,1404519824,175,1.750
256,1404541310,1404541495,185,1.850
256,1404562889,1404563066,177,1.770
256,1404584463,1404584637,174,1.740
256,1404606049,1404606209,160,1.600
256,1404627621,1404627781,160,1.600
256,1404649210,1404649405,195,1.950
256,1404670772,1404670972,200,2.000
256,1404692342,1404692543,201,2.010
256,1404713935,1404714097,162,1.620
256,1404735508,1404735668,160,1.600
256,1404757095,1404757293,198,1.980
256,1404778665,1404778863,198,1.980
256,1404800266,1404800432,166,1.660
256,1404821865,1404822059,194,1.940
256,1404843449,1404843625,176,1.760
256,1404865008,1404865195,187,1.870
256,1404886573,1404886773,200,2.000
256,1404908289,1404908490,201,2.010
256,1404929878,1404930043,165,1.650
256,1404951423,1404951616,193,1.930
256,1404972982,1404973185,203,2.030
512,1404998487,1404998703,216,2.160
512,1405020215,1405020421,206,2.060
512,1405041789,1405041992,203,2.030
512,1405063366,1405063563,197,1.970
512,1405084925,1405085138,213,2.130
512,1405106499,1405106706,207,2.070
512,1405128069,1405128283,214,2.140
512,1405149636,1405149831,195,1.950
512,1405171227,1405171455,228,2.280
512,1405192802,1405193023,221,2.210
512,1405214370,1405214595,225,2.250
512,1405235949,1405236165,216,2.160
512,1405257522,1405257739,217,2.170
512,1405279097,1405279307,210,2.100
512,1405300639,1405300885,246,2.460
512,1405323083,1405323331,248,2.480
512,1405344672,1405344879,207,2.070
512,1405366246,1405366449,203,2.030
512,1405387802,1405388023,221,2.210
512,1405409405,1405409592,187,1.870
512,1405430963,1405431163,200,2.000
512,1405452545,1405452734,189,1.890
512,1405474110,1405474361,251,2.510
512,1405495687,1405495933,246,2.460
